states_to_learn
Idaho
Alaska
Washington
Colorado
Pennsylvania
Tennessee
Hawaii
West Virginia
Arizona
Connecticut
Massachusetts
Mississippi
Florida
Delaware
Wisconsin
Nevada
North Carolina
Louisiana
Rhode Island
Missouri
Oklahoma
Kansas
New Jersey
Kentucky
Vermont
Indiana
North Dakota
Arkansas
New Hampshire
South Dakota
Oregon
Georgia
Montana
New Mexico
Ohio
Illinois
Maine
Texas
Wyoming
Minnesota
Utah
South Carolina
Virginia
Alabama
Maryland
New York
Iowa
Michigan
Nebraska
